system:index,b0,b10,b100,b200,b30,b60,value,.geo
00000000000000000000,22.277917963892445,22.15434869430243,33.189656793270586,32.758666073649,26.725082890623202,32.41859764755296,6869.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,21.428187862488326,21.088389619251082,32.56530924941369,32.11418734483596,26.16448515451549,31.858905902481567,6870.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,22.157332400244425,21.918664521828855,33.0908577345573,32.474697036387305,26.841484561284535,32.22899267567456,6871.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,22.119940384968338,22.09273960041323,32.079330655812974,31.36170488594131,26.314862330419093,31.419196243061265,6872.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,21.195750031904513,21.210070810634647,31.070270395226647,30.472537247546523,25.522494196225992,30.47861319963938,6873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,21.417478624769025,21.429560421826164,31.1735414795367,30.522016004433805,25.451704041945565,30.579066398520535,6874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,21.635943318271096,21.637911108338017,31.5490853244288,30.917534931995156,25.772983284394616,30.97642420904371,6875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,22.792783123143224,22.912352967258435,32.255497456816514,31.730448841790484,26.693612587332865,31.757149734280034,6876.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,21.518998404410826,21.661029593604518,31.406246388233914,30.99463566640632,25.84463349736757,30.997292026392035,6877.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,19.13355035038327,19.319980873789135,29.295365060465954,29.01602675136233,23.725132601006287,28.934661507233972,6878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,22.22536787609426,22.214981662440618,31.901336198728885,31.155941819205086,26.000880912650903,31.362825105883868,6879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,27.168446352782723,27.335720967840295,37.42301069704185,36.39336354639412,31.131731904058995,36.888329903392666,6880.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,27.28653458705971,27.587086298656967,36.654455529041066,35.54993833268997,31.23732954193582,36.512841426728684,6881.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,27.28669924813223,27.75974154644129,35.99284877518313,35.06380175927233,31.059278187908337,35.91534346074768,6882.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,24.44637064045646,24.41224128091302,34.09487603043745,33.6430989220037,28.49207102092572,33.567192136968835,6883.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,24.112639785057073,24.107037451860506,32.5898253746217,32.04117470934068,27.25058923985772,32.04827822196748,6884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,23.172836035723066,23.246064592821625,32.24838106894035,31.615276676022503,27.123738211679086,31.810650287355063,6885.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,19.32549482312794,19.321905360292032,30.05242587519907,29.513494801571518,23.887604449627908,29.523289029583403,6886.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,19.564581451561626,19.614203931047665,30.21214680999938,29.436420075058855,24.01177596844986,29.663940589021067,6887.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,19.94064492525729,19.930071699223387,30.167113782888517,29.450821865346455,24.293966498937305,29.631271145817973,6888.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,20.58324662505756,20.49399342201095,29.613387866402856,28.890801015016336,24.642661644810072,29.18209226716423,6889.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,20.45124198537327,20.39397927452595,30.289509562306378,29.68309005021039,24.97697642269361,29.80599189599551,6890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,20.357600927177888,20.274232497458794,31.09347967206791,30.813908301852244,25.350872870863345,30.958804231832566,6891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,21.028190903710545,21.01028350816614,32.28662694282307,31.873091851123323,25.915077380430226,31.933787507097133,6892.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,21.764075656196937,21.796382486217492,32.69843728724474,32.06575363287182,26.22474216031199,32.265930961978846,6893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,20.28298896692611,20.239537842708355,30.380958189389673,29.44344472437588,23.9962022324676,29.86862645453828,6894.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,21.508008309135253,21.415145805691584,31.38837101049083,30.48430954062252,25.142241693239598,31.098853060668624,6895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,25.33696045244258,25.37220936234356,33.458224112325354,32.998071862620634,29.417728160812203,33.51760339711907,6896.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,30.200548136935996,30.361686779798326,37.69457499596248,37.540781894698085,33.95844165714036,37.497764069956254,6897.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,27.459931410262957,27.77688421686506,32.91278660575453,32.65731746668975,30.345010887461562,32.91705361407829,6898.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,27.67691847801245,27.977948419165923,33.38554217249796,33.072153952973515,30.4462803308403,33.25215279787562,6899.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,28.658065847279026,28.960982058965467,34.911209337464165,34.200898321440384,31.94864458213771,34.54129231316186,6900.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,27.299879484912562,27.614485519438606,33.38982213218916,32.7759776436886,30.60457162797718,33.05547221764937,6901.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,26.455049443000224,26.833297815983695,32.64081066951724,32.46215027416958,29.73586807938104,32.38060455067484,6902.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,28.02948485967384,28.148836648132963,35.16838977560104,34.9045960901345,31.23627534866986,34.90678776563098,6903.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,28.241404313847223,28.29567601143423,36.22870362740932,35.90990137604502,31.74846010990614,35.91948805547276,6904.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,25.459608477631587,25.438792915309545,35.478175112866076,34.72660458572072,29.473979121721136,34.71174361217603,6905.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,23.999610351966183,24.006321484970794,33.37307025227335,32.50140257452813,27.939330217205,32.72467153145933,6906.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
