system:index,mean,value,.geo
00000000000000000000,304.92770655980416,6869.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,313.82428829576565,6870.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,315.76112902261747,6871.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,308.89756576797873,6872.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,315.5385053113786,6873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,317.1321360444565,6874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,326.9556344933606,6875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,361.3239816405406,6876.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,336.1839766290524,6877.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,297.40671552444314,6878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,215.3015504197185,6879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,197.13244826580524,6880.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,196.72818824063293,6881.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,196.27406409965585,6882.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,196.53878321969307,6883.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,194.66632083051192,6884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,213.95498763099275,6885.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,258.03998965095116,6886.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,285.4151250090153,6887.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,260.8382296051235,6888.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,251.86596300276813,6889.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,286.57162621527465,6890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,329.95086717452256,6891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,332.4280914790472,6892.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,332.16349773203257,6893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,336.1041198077757,6894.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,363.4500726230186,6895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,445.5640015663295,6896.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,562.7256478815372,6897.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,696.5708968718598,6898.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,813.4224107189776,6899.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,782.6859247352236,6900.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,754.9716384245535,6901.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,688.3940179615566,6902.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,610.6750022695495,6903.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,543.7006701181571,6904.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,449.5756048358411,6905.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,445.19736197430865,6906.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,457.67763726426807,6907.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,469.21210813874586,6908.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,523.1610156088898,6909.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,464.1554702452723,6910.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,452.07206571774947,6911.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,592.0221264565066,6912.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,842.8774609904283,6913.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,998.4754610182135,6914.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,938.7442441652468,6915.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,819.3560672103049,6916.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,821.3423714649645,6917.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,964.4953487739526,6918.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,868.5509008135651,6919.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,745.3239057279518,6920.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,609.5168467429265,6921.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,476.07551920481257,6922.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,380.26109462121434,6923.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,309.2765302633444,6924.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,277.12920111848496,6925.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,227.10459173103277,6926.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,246.7770397389617,6927.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,269.80217654041763,6928.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,313.14227885160864,6929.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,206.6586662879598,6930.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,151.05107924569367,6931.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,106.64522010215298,6932.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,42.57134777526219,6933.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,152.82831720895302,6934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,169.21145537533133,6935.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,176.43852432929924,6936.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,191.58648230130362,6937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,183.58587904466845,6938.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,170.63218972094583,6939.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,165.34712305168554,6940.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,180.7714089281341,6941.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,203.2545332142256,6942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,316.76715940541914,6943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,418.4677181333004,6944.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,393.46975033636994,6945.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,355.1418264267547,6946.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,269.47516641016193,6947.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,255.6841789770569,6948.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,310.9173164738129,6949.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,323.3366798110557,6950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,371.82082534692086,6951.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,430.4032851361363,6952.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,426.5061472815752,6953.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,432.7316166457849,6954.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,386.0335651358806,6955.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,354.5440314010091,6956.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,312.99090776377085,6957.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,298.9343064607029,6958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,323.6860826133062,6959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,296.3577983191144,6960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,285.53600144908114,6961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,308.88851215696616,6962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,353.49054563867924,6963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,303.72335447244643,6964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,312.2713142037029,6965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,326.0120521492384,6966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,377.4486149167381,6967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,370.9798008778075,6968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,358.9527958048585,6969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,353.51625047617347,6970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,370.8220835699124,6971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,355.1696198779551,6972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,359.48514472434545,6973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,346.89733835487647,6974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,346.0483045327169,6975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,328.56355366376243,6976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,313.56677718454705,6977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,305.1320579944749,6978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,301.55872285621194,6979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,316.96880734700284,6980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,316.2568011248108,6981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,324.226310332552,6982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,320.7601805083062,6983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,322.6491763594869,6984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,339.86871520586544,6985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,326.63893986400075,6986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,276.37653067945763,6987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,222.3151554169098,6988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,201.04795295711963,6989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,201.0933736860788,6990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,199.45200566986315,6991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,199.96436316864475,6992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,207.58156255660523,6993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,224.08737467778684,6994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,285.5587559599215,6995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,275.30530653838684,6996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,283.85220742617213,6997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,258.85048939666694,6998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,288.8600688440904,6999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,347.0236137764175,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,483.4280292175086,7001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,387.0187709722228,7002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,364.1732166720475,7003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,387.1453896453238,7004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,399.030066890258,7005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,439.8150315303693,7006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,748.3229091135269,7007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,833.1256427218507,7008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,778.5243275509338,7009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,744.7210947536947,7010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,716.7992656419184,7011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,634.4762101104263,7012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,588.3119537636061,7013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,699.7591597637573,7014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,671.0678054125199,7015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,745.1185566422631,7016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,652.6418213731612,7017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,479.8320169355178,7018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,491.53863090827275,7019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,563.7710592564162,7020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,543.3664625128631,7021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,767.048024310135,7022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,1001.5379454326459,7023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,1099.9599602262213,7024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,985.6397293260851,7025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,794.5765555080136,7026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,922.9829194454464,7027.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,631.3983976490389,7028.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,675.9281570430569,7029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,518.1715236991107,7030.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,385.0135824601614,7031.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,299.28030279999564,7032.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,268.02298519344765,7033.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,289.8161392814929,7034.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,249.36635252987747,7035.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,203.63191516783877,7036.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,235.89449215607974,7037.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,220.09461790409227,7038.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,175.2905266011145,7039.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,117.64386593107858,7040.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,78.47623282237588,7041.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,205.50277579398144,7042.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,171.78886287137894,7043.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,166.42350005707547,7044.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,157.88963575861393,7045.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,150.19335387472904,7046.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,152.9062415583864,7047.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,168.39897434956555,7048.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,185.71769965807576,7049.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,217.50680010450992,7050.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
