system:index,b0,b10,b100,b200,b30,b60,value,.geo
00000000000000000000,36.43966976012603,36.78931842317842,35.87870382016519,35.833025802745496,36.93953004225888,37.098615853017975,6869.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,36.40804282408411,36.96154659972301,36.18183863607866,36.538798235897,37.25137160322565,37.33213749893496,6870.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,37.28575097293511,37.67889403635876,36.998957558178155,37.30102059234249,38.169220733572445,38.1983600224194,6871.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,33.48233720845838,33.791708096810474,33.651100237756566,33.761813732186944,34.201334491739765,34.294913102089524,6872.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,33.992915136489636,34.2594245024873,33.90774952269878,34.10611683422216,34.62613688578244,34.694371724640014,6873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,30.36598339696158,30.688817156367488,30.72816432207859,30.718408459604237,30.90040745072695,31.179481553747205,6874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,31.632300388712167,31.864579747123255,31.91655689630764,32.03720051220183,32.12061257719684,32.49309183115326,6875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,28.509640660530877,28.72356419400399,28.89034382066592,28.9544206419083,28.899730162852368,29.35035756589152,6876.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,29.294061805254557,29.331863242266483,29.528356619098798,29.498373854248907,29.516095058993155,29.83139412826974,6877.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,30.55371520312091,30.58217019161035,30.785977067546472,30.705298023730368,30.892674091267413,31.18828012932351,6878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,28.057451031713533,28.148221158507905,28.670677776728628,28.584155360036654,28.343035308119845,28.638801413769794,6879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,30.711573708045655,30.65878808188383,31.00642579532786,30.9764458202636,30.647746468716484,30.792384781570792,6880.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,29.730905534377637,29.655667462983228,29.97587727678221,30.034368654559046,29.737774587534062,29.947013879097888,6881.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,28.329324111605505,28.303678492903774,28.725421627731105,28.66006825938565,28.398227728909085,28.65084801110918,6882.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,29.630635700697407,29.678550095117195,30.264435954343558,30.05416011414065,30.115429930247185,30.38956563094471,6883.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,28.407421935026136,28.543514717927003,29.354984261062178,29.081770555274957,28.911823926671115,29.307929668254697,6884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,27.427722663311037,27.55021479117072,28.11500004475158,27.982223996080393,27.815415505472757,28.076779846259964,6885.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,28.868224900785027,29.01848749299028,29.625034751820554,29.364320492146078,29.40587178171204,29.85698987893849,6886.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,26.489594173398658,26.642395521913382,27.47063513771393,27.205917244450127,26.97202213599646,27.5015460212455,6887.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,28.05239787869715,28.201514256149043,29.048972700019778,28.627620876723984,28.55016028973888,29.10809032022438,6888.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,27.984846119830422,28.158328279650213,29.097094585721212,28.555675185639306,28.539356650120087,29.134063431679408,6889.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,28.561356941332104,28.635445209067797,29.66902615417941,29.2312194043983,29.015754929110688,29.67523433476623,6890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,28.994857139238267,29.129337834115056,30.0368255556577,29.72120412796839,29.532500942060977,30.256522069557445,6891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,30.755813625782846,30.960490429133365,31.638906208388992,31.194452510458447,31.34844832232359,31.83300026061055,6892.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,30.314542253409744,30.443650826322088,30.977234109253843,30.62053122733918,30.67870974075128,31.253073335085592,6893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,28.978219944188275,29.047189645689514,29.79593565687718,29.52662619347544,29.255610316798485,29.777724304951796,6894.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,29.219180359534718,29.272236911686893,29.726176309464584,29.436338217272432,29.300276760070496,29.82576116935874,6895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,28.33080459915708,28.25952621462524,28.763554435285986,28.50779773082078,28.390062920167082,28.877966541797445,6896.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
