system:index,b0,b10,b100,b200,b30,b60,value,.geo
00000000000000000000,61.41307182211556,61.74980355214045,52.96926401425326,52.85550870918852,58.27735876825259,53.45868565360095,6869.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,65.44433593531885,66.00729947274186,56.245230624977864,55.9782151972141,61.895972619956495,56.7519832436382,6870.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,64.3763458804232,64.7186452056227,55.16603355953368,55.01194659860622,60.7627485378266,55.85952431467065,6871.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,63.19169617887602,63.41897817021073,55.14584921466875,55.43815685333593,60.17883019763848,55.722805634013966,6872.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,63.178729005950146,63.42418075031247,55.52016001981122,55.78368223533762,60.320341408530524,56.03751750790679,6873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,63.4197455866378,63.60391832469344,55.68644524843248,56.105582401527826,60.54538917394169,56.102713347269514,6874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,63.382140206863625,63.54511427149824,55.49053145534454,55.76072965009586,60.38416912416099,55.890468554474275,6875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,60.93808726001305,61.01597834968636,53.52827399238643,53.78533093055825,58.23037916553193,53.85814958859357,6876.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,62.44361021772435,62.41769226311837,54.20622175302066,54.320040556274954,59.08222398348906,54.45763202400477,6877.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,66.14803085526464,66.12802623204148,57.35424275721436,57.29183779453261,62.440697980031565,57.62615129339418,6878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,59.02431445666414,59.3850291746865,52.7689831923137,53.22424677215256,56.941615454376965,53.00607132604004,6879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,48.08187284867374,48.25949830308509,43.13850488093518,43.680561977290246,46.53183579748494,43.20421616750058,6880.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,48.46849960008533,48.63379138001731,43.648652477036364,44.10737589783293,46.842235782588986,43.642792106057435,6881.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,48.54553611200524,48.77631275670614,43.89158678500851,44.47917739989786,46.96032173536751,44.10856381047821,6882.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,52.887873493976,53.1884533925175,46.48766423589105,47.0718668357642,50.5575846544072,47.034429930247384,6883.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,54.390543330001705,54.706771624604194,48.82861936166655,49.61877646589206,52.82647753537941,49.256230227316046,6884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,57.53039811366988,57.73431994619213,51.33545975321662,51.71569863401518,55.014857204231,51.41238910301535,6885.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,66.97037544012409,67.21822241228556,57.78689787418747,58.138759065985546,63.409572196768664,58.17869298918317,6886.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,68.07480153934235,68.28323770752502,58.77543985751547,59.362332866866026,64.5019779276128,59.18873163284784,6887.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,65.74753827171159,65.93044325692533,57.146153743729364,57.82440538086587,62.353657941190136,57.50341820404499,6888.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,63.94213350912882,64.20925995504975,56.48851491452973,57.296108897556515,60.832420303064694,56.70591539987879,6889.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,64.4965496702078,64.84042788280556,56.16422071188546,56.740908395284414,61.061995444434814,56.49903637149944,6890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,63.88589663613052,64.15961519583809,54.83626823560752,54.94479744899459,59.90167639337967,54.71893748199045,6891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,62.257720705935014,62.43880481410707,52.89497300321842,53.12733500550536,58.41733816893082,52.889465666065966,6892.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,60.14684211693008,60.27591934058956,50.9631855274121,51.43026786194978,56.67692536661262,51.22366646928301,6893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,63.13881415366233,63.331665150136715,54.35971926872004,55.25696568924412,60.14970560727549,54.75990423048573,6894.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,59.997577241075945,60.15345617596128,51.362999015190326,52.14718759202926,56.921174678670255,51.55893659534476,6895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,56.043825305496924,56.09939423110419,49.648439345528935,49.99529792873271,52.770482936823335,49.28505938941789,6896.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,48.71175755311172,48.609058350776074,43.37288511290495,43.47814988742779,45.88552551164206,43.22782768677358,6897.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,54.945861557733124,54.73448123850312,50.90624650635754,51.1120077774846,52.57654190338783,50.40673942760189,6898.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,52.72243726929779,52.58581171650094,48.67230824105251,49.01754606428951,50.77082190928812,48.37612748980725,6899.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,51.412477780035466,51.17052172477761,47.37800255212207,47.9797563422133,49.318410510678675,47.26908726732565,6900.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,56.42201764885026,56.18174736707,52.18724872826754,52.65298392433027,54.0913620048224,52.09620358405308,6901.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,57.59364690139371,57.286372325472435,52.84298819441309,52.9201173117473,54.929900151389496,52.69585675604901,6902.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,51.69347165072037,51.587383916566374,46.49033237086682,46.73949208609157,49.15384922311278,46.38835375118221,6903.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,49.679457251332785,49.625800051974245,43.60908024922222,44.0303160910436,46.85645746049671,43.61446114938767,6904.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,53.955479795924354,53.98859160466029,45.264407941436666,46.09275905660359,50.67675189044493,45.92215861524375,6905.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,55.13516320075285,55.20266006060149,47.58022171923501,48.62047457863385,52.11595988842781,48.06908586353786,6906.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
