system:index,b0,b10,b100,b200,b30,b60,value,.geo
00000000000000000000,46.39788244767571,46.32265880183681,50.262786940301986,50.614134585585965,47.573138251315896,49.19196845942094,6869.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,46.17923282133006,46.09368614118273,50.456269066888915,50.791033763253246,47.42208454329004,49.33848815511216,6870.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,45.96806366114962,45.90319192392603,50.38839285997035,50.76930813148976,47.44768348021068,49.4009195780836,6871.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,47.84159004269257,47.83153777177128,51.337603398386804,51.6953864596415,48.88876192625554,50.36721312722518,6872.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,47.11200025080312,47.13085479750706,50.77076367247583,51.13393219899973,48.25010109697768,49.73453184578577,6873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,49.013561504895364,49.016455289646835,51.92907040929957,52.27379065510796,49.9092489190718,50.92535259183535,6874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,49.24493427872586,49.24823894982808,52.25563439455082,52.55671577643166,50.20298611271697,51.34751558981941,6875.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,50.06260126810813,50.07754270837971,52.7018473709882,52.998358807395924,50.88433709374019,51.74068143381095,6876.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,51.272754245379154,51.23992449845375,53.238722819332864,53.44455161219791,51.82047040592098,52.37878477467845,6877.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,51.199962634223795,51.18252263321049,52.836235303058736,52.99427100320784,51.589998005047484,52.12468547832934,6878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,52.64582685059823,52.67853025744871,55.69792744702047,55.95985921875129,53.71114430553388,54.47808682249777,6879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,54.39492716855514,54.4739370746497,57.82035736858579,58.15920492815076,55.4176727807382,56.52942804124021,6880.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,52.63078378097083,52.722355454065564,55.95570165671649,56.282394444144764,53.72603935112341,54.762552855341845,6881.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,52.272050270358726,52.34825317162043,55.300085760166645,55.60538434345935,53.48225969319754,54.15385944526985,6882.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,50.851259353202416,50.901367786937335,54.12396131896015,54.39573335447059,52.21393373493991,52.91364965123669,6883.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,52.54120211584597,52.581284050206584,55.513752520844506,55.756266822129206,53.649734093534335,54.44893280970575,6884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,53.45292776658639,53.46234682102791,56.06996566722532,56.37984572958589,54.30316002746118,55.01489698344315,6885.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,51.60943043153171,51.56226400859007,53.72204313124955,54.017571344655664,52.212534050444326,52.802455911550474,6886.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,51.583474651739756,51.5470580751861,53.48400547038996,53.87352999173084,52.121774060174346,52.678695693658234,6887.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,51.80499434420736,51.786205634996286,53.68922875780554,54.072300309927584,52.358945346779116,52.9037719447308,6888.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,52.4808273419628,52.441723077284266,54.87901922593784,55.2738445585929,53.01478662595066,54.02180584146047,6889.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,52.44452484383542,52.413891935176,54.790847212018484,55.106651290945194,52.89416755515264,53.93327436202123,6890.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,52.65055811169882,52.64630189647196,54.52345715760487,54.632455976466375,52.97590604090652,53.75836154238376,6891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,52.838310002409806,52.793618620068834,54.83403636957815,54.940259388233486,53.16385879658735,53.96768112669905,6892.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,54.36571500045977,54.29997308397545,56.290440377838145,56.491067046235955,54.68954549916623,55.46861464801814,6893.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,54.3451323816792,54.31109441097399,56.71234104947283,57.07632476726136,54.800560017843715,55.82230617350311,6894.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,55.26918590106951,55.258494855872776,57.231144057733424,57.48765346092589,55.69729256452732,56.424480916538286,6895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,55.56670646016275,55.542323391292555,56.97008711292383,56.95473547880443,55.65336022824794,56.299349582168325,6896.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,55.53127325465413,55.48237918662943,56.743470330623836,56.70819165476563,55.510048543843084,56.14827056621825,6897.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,56.446235695121054,56.36306254001856,57.55778199414625,57.63698510056639,56.4409704577566,56.9189376403813,6898.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,57.868216338415806,57.77095455514766,59.02577835828869,59.33767383588992,57.9708575776962,58.37748663386704,6899.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,57.86917011605204,57.82855932095824,59.39486814037973,59.63215609842841,58.05412402549616,58.611528035247545,6900.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,56.55057533877445,56.49435848280711,57.85596953307435,58.03002675358707,56.61767224091375,57.19063376570923,6901.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,55.5406156460205,55.5103184497168,56.44128918795944,56.52290267412404,55.593252041350446,55.88181493761564,6902.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,55.49783429147236,55.470069268472585,56.39118510078676,56.40697206777514,55.576397038752376,55.95834011535681,6903.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,56.32586755487393,56.28772271203207,57.218658371944244,57.25352884877458,56.519973569287224,56.807560641689626,6904.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,56.213008237725134,56.193680768284445,57.593081033277656,57.84273537951927,56.66568368492108,57.225986447522125,6905.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,55.93203334500178,55.93444124313575,57.34021373620215,57.5908657630847,56.523873544957745,56.860841164572626,6906.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,55.83981722443304,55.83877081878258,57.14628827049637,57.33584614351054,56.3539427500126,56.62572395933046,6907.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,56.90682914935662,56.894171141959745,58.000164340358815,58.26984306920669,57.32487777383737,57.465585418988795,6908.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,56.257585410881475,56.24510777493181,57.57635728015201,57.677719231025556,56.580090057854086,57.02043052973949,6909.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,57.25624422350209,57.201039448186656,58.95580630599918,59.17159336222481,57.77547206952897,58.22791955718296,6910.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,56.8065204787338,56.73878060759053,58.19272716564271,58.36058574811726,57.192058088440454,57.553219819251076,6911.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,56.83810702385034,56.66930739345497,58.22953581874986,58.240779121011514,56.90753075790218,57.61116654406726,6912.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,54.984868545429315,54.78254127242567,56.33013791939436,56.28201069142121,55.03679486639557,55.69848780455393,6913.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,55.22599201385719,54.91034525343832,56.44195701669127,56.60719987840306,55.09264559194692,55.65872411707534,6914.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,55.81305743879796,55.58725383711718,57.21442318958079,57.31485257934703,55.742906044072875,56.525404611190375,6915.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,59.99637963628542,59.91194944853824,61.958880863339466,62.036374316412214,60.13946459276061,61.387029642460256,6916.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,62.2170338248273,62.24249032097122,64.57951909173921,64.69613643172102,62.61706922857249,63.94418811738902,6917.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,55.61253241797747,55.38161508817389,57.248101153589296,57.46390624356798,55.529252019493676,56.484734813820396,6918.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,52.0750301855406,51.79294096933864,53.22460416805895,53.568452381895156,51.8753483647247,52.63844768583892,6919.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,52.8951684151533,52.65885616392861,54.12848348781066,54.394276069754085,52.70426983156955,53.66049075830406,6920.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,52.217405870672124,52.0926757039099,53.392245459027826,53.51134447488265,52.0399573270037,52.93418649771437,6921.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,53.19062535724388,53.03990741828583,54.27581060459022,54.29113016128989,53.08824396529446,53.919835559472624,6922.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,56.39033619698742,56.34143991234887,57.75076995664956,57.73768940173606,56.198872693534256,57.30968755244682,6923.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,58.19188773182227,58.17358072829703,60.801525673344315,60.944515039354876,58.410869448884,60.314682872288884,6924.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,60.26702660253258,60.271340766378316,63.686989110092846,63.900439522858065,60.684452987203755,62.918497009154564,6925.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,62.408421784640396,62.438861722091666,67.0698619127272,67.29325511153475,63.564822737438156,66.44076966095405,6926.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,59.85718157730781,59.83107075187351,62.482628351917995,62.56335270306572,59.96856397584459,61.80701901594355,6927.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,59.73296297680272,59.709510687307734,62.17358791940624,62.22575935966732,59.78647899937244,61.57134456330853,6928.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,54.99815514396948,54.932887899505474,55.96690817202232,55.96669062720714,54.852116707885564,55.71069104519715,6929.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,54.91578237410091,54.847718550511885,56.22388001570582,56.250578832708534,55.03908387374619,55.87978898571294,6930.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,53.71696532899353,53.669128585769236,54.94404031703967,54.958258944829076,53.984958058500126,54.68731748560048,6931.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,52.30394083584537,52.25865444234699,54.25523345254945,54.30782068098084,52.89912782652073,53.888101048242504,6932.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,51.453223464283866,51.41915284781578,54.031155874820215,54.163703217214874,52.311500571540286,53.39999272791733,6933.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,44.57266928284425,44.514310529689574,48.622265294887804,48.99814977712574,45.51673264711474,47.65066829375465,6934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,45.30614973262022,45.290074684092,49.22004158114633,49.5336344149154,46.4178930531899,48.25599895983856,6935.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,45.355497700323106,45.32391142139688,49.34563792036203,49.69921756263023,46.477959570853365,48.421071626373546,6936.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,45.268871729240566,45.2267232909745,49.0674709039157,49.39289155323105,46.23323396876429,48.23415570588142,6937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,46.277062434898575,46.2275299620011,50.13381893774961,50.45961863351934,47.165601481106,49.31034462034613,6938.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,45.346710501968836,45.34934625028192,49.39575983914125,49.71939671001172,46.456627501042966,48.43004101493867,6939.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,44.32752288639795,44.41331483078066,48.8313131599453,49.1785978296973,45.724403590479945,47.755125811092185,6940.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,44.6039930902084,44.82863501882598,48.83839679171071,49.14667870386675,46.057353104455636,47.78599764464795,6941.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,45.11948961420558,45.160963837129266,48.47030488402745,48.76532754710517,46.26798923306084,47.496424199675175,6942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,47.715088336830846,47.67699978047867,49.71794401380152,49.89861745758716,48.227370468099615,49.013573322384836,6943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,50.239189516616314,50.17854275702521,51.9383954435695,52.07861082765931,50.39696092454602,51.34618314163707,6944.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,49.25455459888272,49.209434051786786,51.32636884691036,51.51594821314451,49.60556933276812,50.67951869729413,6945.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,50.100553833228574,50.05847275639638,52.08785448062743,52.24185548207577,50.37810433978876,51.43542792940246,6946.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,47.56920904580253,47.53560264969344,50.38242632587449,50.6250500565881,48.22776459453974,49.5271978875325,6947.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,46.07354632929426,46.05089717608338,49.36313798599489,49.695407067019175,46.96073010196634,48.40381922555878,6948.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,45.70985398342874,45.66769637207537,48.90178881528625,49.22400109823985,46.49807080484638,47.93683601872812,6949.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,46.17278838446732,46.14797708119935,49.44360385927577,49.77920916600165,46.954853227439855,48.438296437489015,6950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,46.659503813292226,46.6540149494984,50.00632617490812,50.26816825936046,47.14051769677724,48.939041726372544,6951.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,47.8058864017522,47.78634835842867,50.93597374852207,51.007608285132534,48.12322492852912,49.8581821724529,6952.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,47.49684885201626,47.485669771861154,50.869572644371964,51.006833455981926,47.91922342884712,49.76245231127493,6953.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,47.75929511522283,47.7244402717734,50.73780656189772,50.82060448971943,48.09286084159386,49.685622515468886,6954.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,46.902933553318434,46.81870879623127,50.177655181750325,50.342187471334,47.248132644107464,49.08167938351779,6955.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,46.12883031749612,46.104550736978226,49.4571031643352,49.695431359685266,46.611909767186845,48.41514925878262,6956.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,45.41785176449036,45.365418760582635,49.29858832516294,49.70291065573809,46.185433145989585,48.222190929725485,6957.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,45.41424993415168,45.35072378857804,49.82473294598653,50.27049622275142,46.35711351316648,48.74018784411353,6958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,45.494385502760785,45.46263450921736,49.502212989261146,49.891099856770026,46.407619681603975,48.42162942704609,6959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,47.349017654073705,47.334838721922154,50.68913045541242,51.036143244414404,48.22455089820354,49.7244281642736,6960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,46.93238365224974,46.92738624148336,50.29121850979133,50.69565236658456,47.87266066859163,49.287815155309296,6961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,45.5839255246531,45.576092024411764,49.52541166601618,49.91418481936294,46.568981300186884,48.49212980740963,6962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,46.245530650447684,46.239877181850325,50.240088162858505,50.634876963594344,47.25952340434142,49.22971593162838,6963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,46.078379708147544,46.104261329685315,49.87056010842108,50.30547051599227,47.20128197141464,48.86441691818298,6964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,47.071313188886286,47.09557578554429,50.28458409259039,50.6656612472491,47.95840720308781,49.262591597177654,6965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,47.286177475104324,47.289961980962815,50.14574016918928,50.47849104374733,47.99514821540799,49.179429989646614,6966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,47.99673322829973,47.99365054462529,50.479272858624526,50.73955782815345,48.52276918999055,49.57494580948291,6967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,48.54753511158416,48.56155950124943,50.70401790840247,50.867737324449884,48.89460467302507,49.836389712094515,6968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,49.84010693495301,49.820051569222834,51.87804922804333,52.080766578081324,50.14362408251061,51.048767400657916,6969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,50.11660840549111,50.1107202777044,52.13184394800353,52.35554408154703,50.46877957154041,51.3682691574543,6970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,50.079264647364404,50.0984218494083,52.048554100022216,52.188262433803644,50.3657275112276,51.195715725392,6971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,48.70466929122398,48.667373416139895,51.28596973134255,51.47710270884444,49.2515750823521,50.29106206004769,6972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,46.554428069376144,46.498121664752745,49.62437660336997,49.852811018216926,47.12836798668901,48.521251316701054,6973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,45.802638783147195,45.761790878032784,49.265295981411505,49.59878324850622,46.66749137206523,48.15334807512685,6974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,46.96184461504869,46.95447678335866,50.417246015101185,50.7302403117693,47.952588009401076,49.34998877047794,6975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,46.26622981575525,46.25997252976041,50.25570853043698,50.619147016451244,47.49732344100687,49.155959005560646,6976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,46.76749480342957,46.71643161237441,50.49403423592989,50.87110257225473,47.93123015264798,49.38586355535323,6977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,47.21527792780119,47.17971109893954,50.98851874349479,51.35425580718554,48.397092181727615,49.88954465106023,6978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,47.69923710622486,47.669202000563835,51.34220464090884,51.7286323633179,48.81252234579209,50.280256708459646,6979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,45.73085752179134,45.66882705488247,49.82128895195049,50.18589104516764,46.941126660731854,48.86463168023371,6980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,47.79094127267632,47.78256725229836,51.09860210412234,51.43189545718625,48.77536890501306,50.128976559958396,6981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,47.08271412800374,47.066316811701306,50.32402137088734,50.66946044519512,48.13681005659027,49.42238154435972,6982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,50.349685596050925,50.315241873231514,53.0783590648881,53.41494309509019,51.162608345545884,52.13925402868222,6983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,49.940197348275106,49.943602189292704,52.71875873716872,53.0251874548677,50.81587135844298,51.78377563616079,6984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,50.33945800339197,50.35134126351982,53.08311038513656,53.352065304789804,51.27659325455431,52.16471543501609,6985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,51.32242072107924,51.29912544493636,53.00654763097729,53.19616711315391,51.85401665125356,52.35284961285881,6986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,50.77620861751435,50.758514048424864,52.634314874761856,52.85616187905288,51.28754623710453,51.857166806582455,6987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,52.712040578114845,52.73273010239433,55.464395772638575,55.72512186403738,53.69773258554207,54.37346258354921,6988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,53.73315255141599,53.80759479256955,57.184597640942144,57.509592882809784,54.89021483984177,55.92650125175447,6989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,51.941226150515675,52.04380446963487,55.16139263432506,55.48521108421389,53.1232487969607,53.99104956985598,6990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
