date;year;month;day;n_amount
07/01/1981;1981;1;7;65
04/02/1981;1981;2;4;65
04/03/1981;1981;3;4;65
01/04/1981;1981;4;1;0
27/05/1981;1981;5;27;0
22/07/1981;1981;7;22;0
16/09/1981;1981;9;16;0
11/11/1981;1981;11;11;55
09/12/1981;1981;12;9;55
06/01/1982;1982;1;6;75
03/02/1982;1982;2;3;75
03/03/1982;1982;3;3;75
31/03/1982;1982;3;31;55
26/05/1982;1982;5;26;0
21/07/1982;1982;7;21;0
15/09/1982;1982;9;15;0
10/11/1982;1982;11;10;55
08/12/1982;1982;12;8;55
05/01/1983;1983;1;5;75
02/02/1983;1983;2;2;75
02/03/1983;1983;3;2;75
30/03/1983;1983;3;30;55
25/05/1983;1983;5;25;0
20/07/1983;1983;7;20;0
14/09/1983;1983;9;14;0
09/11/1983;1983;11;9;55
07/12/1983;1983;12;7;55
04/01/1984;1984;1;4;75
01/02/1984;1984;2;1;75
29/02/1984;1984;2;29;75
28/03/1984;1984;3;28;55
23/05/1984;1984;5;23;0
18/07/1984;1984;7;18;0
12/09/1984;1984;9;12;0
07/11/1984;1984;11;7;55
05/12/1984;1984;12;5;55
02/01/1985;1985;1;2;75
30/01/1985;1985;1;30;75
27/02/1985;1985;2;27;75
27/03/1985;1985;3;27;55
22/05/1985;1985;5;22;0
17/07/1985;1985;7;17;0
11/09/1985;1985;9;11;0
06/11/1985;1985;11;6;55
04/12/1985;1985;12;4;55
01/01/1986;1986;1;1;75
29/01/1986;1986;1;29;75
26/02/1986;1986;2;26;75
26/03/1986;1986;3;26;55
21/05/1986;1986;5;21;0
16/07/1986;1986;7;16;0
10/09/1986;1986;9;10;0
05/11/1986;1986;11;5;55
03/12/1986;1986;12;3;55
31/12/1986;1986;12;31;75
28/01/1987;1987;1;28;75
25/02/1987;1987;2;25;75
25/03/1987;1987;3;25;55
20/05/1987;1987;5;20;0
15/07/1987;1987;7;15;0
09/09/1987;1987;9;9;0
04/11/1987;1987;11;4;55
02/12/1987;1987;12;2;55
30/12/1987;1987;12;30;75
27/01/1988;1988;1;27;75
24/02/1988;1988;2;24;75
23/03/1988;1988;3;23;55
18/05/1988;1988;5;18;0
13/07/1988;1988;7;13;0
07/09/1988;1988;9;7;0
02/11/1988;1988;11;2;55
30/11/1988;1988;11;30;55
28/12/1988;1988;12;28;75
25/01/1989;1989;1;25;75
22/02/1989;1989;2;22;75
22/03/1989;1989;3;22;55
17/05/1989;1989;5;17;0
12/07/1989;1989;7;12;0
06/09/1989;1989;9;6;0
01/11/1989;1989;11;1;55
29/11/1989;1989;11;29;55
27/12/1989;1989;12;27;75
24/01/1990;1990;1;24;75
21/02/1990;1990;2;21;75
21/03/1990;1990;3;21;55
16/05/1990;1990;5;16;0
11/07/1990;1990;7;11;0
05/09/1990;1990;9;5;0
31/10/1990;1990;10;31;55
28/11/1990;1990;11;28;55
26/12/1990;1990;12;26;75
23/01/1991;1991;1;23;75
20/02/1991;1991;2;20;75
20/03/1991;1991;3;20;55
15/05/1991;1991;5;15;0
10/07/1991;1991;7;10;0
04/09/1991;1991;9;4;0
30/10/1991;1991;10;30;55
27/11/1991;1991;11;27;55
25/12/1991;1991;12;25;75
22/01/1992;1992;1;22;75
19/02/1992;1992;2;19;75
18/03/1992;1992;3;18;55
13/05/1992;1992;5;13;0
08/07/1992;1992;7;8;0
02/09/1992;1992;9;2;0
28/10/1992;1992;10;28;55
25/11/1992;1992;11;25;55
23/12/1992;1992;12;23;75
20/01/1993;1993;1;20;75
17/02/1993;1993;2;17;75
17/03/1993;1993;3;17;55
14/04/1993;1993;4;14;0
09/06/1993;1993;6;9;0
04/08/1993;1993;8;4;0
29/09/1993;1993;9;29;0
24/11/1993;1993;11;24;55
22/12/1993;1993;12;22;55
19/01/1994;1994;1;19;75
16/02/1994;1994;2;16;75
16/03/1994;1994;3;16;75
13/04/1994;1994;4;13;55
08/06/1994;1994;6;8;0
03/08/1994;1994;8;3;0
28/09/1994;1994;9;28;0
23/11/1994;1994;11;23;55
21/12/1994;1994;12;21;55
18/01/1995;1995;1;18;75
15/02/1995;1995;2;15;75
15/03/1995;1995;3;15;75
12/04/1995;1995;4;12;55
07/06/1995;1995;6;7;0
02/08/1995;1995;8;2;0
27/09/1995;1995;9;27;0
22/11/1995;1995;11;22;55
20/12/1995;1995;12;20;55
17/01/1996;1996;1;17;75
14/02/1996;1996;2;14;75
13/03/1996;1996;3;13;75
10/04/1996;1996;4;10;55
05/06/1996;1996;6;5;0
31/07/1996;1996;7;31;0
25/09/1996;1996;9;25;0
20/11/1996;1996;11;20;55
18/12/1996;1996;12;18;55
15/01/1997;1997;1;15;75
12/02/1997;1997;2;12;75
12/03/1997;1997;3;12;75
09/04/1997;1997;4;9;55
04/06/1997;1997;6;4;0
30/07/1997;1997;7;30;0
24/09/1997;1997;9;24;0
19/11/1997;1997;11;19;55
17/12/1997;1997;12;17;55
14/01/1998;1998;1;14;75
11/02/1998;1998;2;11;75
11/03/1998;1998;3;11;75
08/04/1998;1998;4;8;55
03/06/1998;1998;6;3;0
29/07/1998;1998;7;29;0
23/09/1998;1998;9;23;0
18/11/1998;1998;11;18;55
16/12/1998;1998;12;16;55
13/01/1999;1999;1;13;75
